Habitat,Sex,Standard length,Eye diameter,Head length,Head width,Predorsal length,Gape width
Cave,Male,29,1.6,7.0,4.8,9.8,2.6
Cave,Male,26,1.5,7.0,4.5,8.0,2.5
Cave,Female,47,2.6,10.5,7.5,15.2,3.8
Cave,Male,26,1.5,6.5,4.1,8.6,2.2
Cave,Female,42,2.3,9.1,7.3,14.3,4.1
Cave,Female,41,2.2,9.1,6.9,14.1,3.7
Cave,Female,54,2.6,11.3,9.5,18.1,5.4
Cave,Female,47,2.5,10.3,8.0,15.1,4.4
Cave,Female,52,2.3,10.6,8.6,17.4,5.4
Cave,Female,54,2.3,11.3,9.2,17.8,4.8
Cave,Female,48,1.9,9.9,7.9,15.7,4.3
Cave,Female,44,2.2,9.2,7.1,14.4,4.3
Cave,Female,46,2.6,10.7,8.1,15.5,4.1
Cave,Female,51,2.4,10.1,7.9,16.4,4.8
Cave,Female,46,2.3,9.7,8.1,15.4,4.9
Cave,Female,36,1.8,8.1,6.7,11.4,3.6
Cave,Female,35,1.8,8.4,6.1,11.0,3.5
Cave,Female,53,2.6,11.9,9.6,18.0,5.5
Cave,Female,45,2.3,9.7,7.0,14.3,4.2
Cave,Female,40,1.8,9.0,7.3,12.9,4.1
Cave,Female,46,2.3,9.3,8.3,14.8,4.4
Cave,Female,40,2.5,8.7,6.7,13.1,3.9
Cave,Female,37,1.8,8.3,6.4,11.9,3.9
Cave,Female,36,1.8,8.6,6.4,11.8,3.4
Cave,Female,31,1.7,7.0,5.5,10.0,3.2
Cave,Female,39,2.1,8.8,6.4,13.3,3.8
Cave,Female,42,2.4,8.8,7.2,14.1,4.0
Cave,Female,40,2.1,8.8,6.3,13.0,3.8
Cave,Male,25,1.3,6.5,4.3,7.9,2.5
Cave,Male,25,1.5,6.3,4.5,8.5,2.6
Cave,Female,27,2.3,8.9,6.3,8.8,4.3
Cave,Female,35,2.4,10.3,7.9,11.9,4.4
Cave,Female,34,2.5,10.1,7.9,11.1,4.6
Cave,Female,46,3.1,11.9,9.2,14.7,5.5
Cave,Female,25,1.9,7.8,6.2,7.8,3.7
Cave,Female,23,1.7,7.1,5.8,8.0,3.5
Cave,Female,34,2.5,9.4,7.5,10.8,4.6
Cave,Female,23,1.6,7.1,5.8,7.5,3.1
Cave,Female,20,1.5,6.8,5.1,6.3,2.9
Cave,Female,21,1.7,6.3,5.1,6.4,3.0
Cave,Female,23,1.3,7.1,5.4,7.1,3.4
Cave,Female,28,2.5,8.6,6.9,9.7,4.0
Cave,Female,25,2.1,8.1,6.1,8.7,3.9
Cave,Female,23,2.3,7.4,5.8,7.8,3.4
Cave,Female,24,2.2,7.0,5.8,7.9,2.7
Cave,Female,20,1.8,6.5,5.1,6.9,3.0
Cave,Female,20,1.9,7.9,5.9,7.1,3.0
Cave,Male,19,1.7,5.2,4.2,6.4,2.4
Cave,Male,22,1.9,6.5,4.9,7.7,3.0
Cave,Male,18,1.4,5.7,4.3,5.8,2.2
Cave,Male,19,2.0,5.9,4.4,6.5,2.7
Cave,Male,25,1.9,7.0,5.1,8.2,3.0
Cave,Male,26,2.3,8.5,5.7,8.7,3.2
Cave,Male,19,1.6,6.5,4.7,6.5,2.9
Cave,Male,17,1.5,5.4,4.2,5.8,2.6
Cave,Male,17,1.3,5.4,3.8,6.1,2.0
Cave,Male,19,1.2,5.6,4.4,6.7,2.5
Cave,Male,18,1.4,5.9,4.3,5.9,2.4
Cave,Male,17,1.4,6.0,4.4,5.2,2.5
Cave,Male,17,1.6,5.6,4.0,5.3,2.6
Cave,Male,18,1.5,5.5,3.8,6.5,2.7
Cave,Male,18,1.4,5.6,3.9,6.3,2.5
Cave,Male,17,1.4,5.0,3.9,5.8,2.0
Cave,Male,18,1.6,5.7,4.3,6.2,2.6
Cave,Male,18,1.4,5.2,3.9,5.7,2.4
Surface,Female,64,3.9,12.3,8.5,21.3,5.3
Surface,Male,28,2.2,6.1,3.7,8.9,1.9
Surface,Female,34,2.6,7.7,4.7,11.3,2.7
Surface,Female,31,2.2,6.5,4.3,9.8,2.1
Surface,Male,26,2.3,6.4,3.9,8.6,2.0
Surface,Male,26,2.0,6.6,4.0,8.9,1.9
Surface,Female,32,2.6,7.3,4.9,10.7,2.6
Surface,Male,34,2.8,7.6,5.0,11.1,2.6
Surface,Male,28,2.1,5.9,3.8,9.2,1.4
Surface,Female,46,3.0,9.5,7.0,14.9,3.7
Surface,Female,61,3.3,11.2,8.1,19.7,4.7
Surface,Female,43,2.7,9.0,6.2,14.5,3.4
Surface,Male,33,2.5,7.2,4.3,11.3,2.5
Surface,Male,32,2.5,6.9,4.5,10.7,2.2
Surface,Female,31,2.3,7.0,4.4,10.3,2.5
Surface,Male,28,2.0,6.5,4.0,9.4,2.3
Surface,Male,24,2.6,5.7,4.2,7.5,2.3
Surface,Male,28,2.9,7.0,5.2,9.1,2.4
Surface,Male,43,3.7,10.7,7.1,13.6,4.4
Surface,Male,21,2.3,5.8,3.9,6.6,1.8
Surface,Female,33,3.3,8.7,6.4,10.9,3.5
Surface,Male,40,3.6,9.6,7.1,12.9,4.1
Surface,Male,22,2.4,5.9,3.8,7.1,2.1
Surface,Female,40,3.7,9.7,7.9,13.3,4.1
Surface,Female,43,3.4,9.5,8.1,13.9,4.0
Surface,Female,43,3.6,10.3,7.6,14.2,3.7
Surface,Female,36,3.0,9.5,7.0,12.3,3.5
Surface,Female,39,3.5,9.6,7.3,12.9,3.5
Surface,Female,36,3.2,8.5,6.9,11.7,3.7
Surface,Female,31,3.3,8.0,5.8,10.1,3.7
Surface,Female,29,3.0,7.9,5.6,9.4,3.4
Surface,Female,46,3.7,11.4,8.7,15.2,5.1
